,BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA
"G3470
2286",,"13.11.2019
ID: 6881",,POMORSKA enciklopedija,,"Pomorska enciklopedija: 5: Luka - Oz. -
Zagreb : Izdanje i naklada Leksikografskog zavoda FNRJ, 1958",,,,,Dar,,13.27,,,DA,,656.6(03) POMOR,,,
"G3471
2287",,"13.11.2019
ID: 6882",,POMORSKA enciklopedija,,"Pomorska enciklopedija: 6: P - Santa. -
Zagreb : Izdanje i naklada Leksikografskog zavoda FNRJ, 1960",,,,,Dar,,13.27,,,DA,,656.6(03) POMOR,,,
"G3472
2288",,"13.11.2019
ID: 6883",,POMORSKA enciklopedija,,"Pomorska enciklopedija: 7: Santi - Už. -
Zagreb : Izdanje i naklada Leksikografskog zavoda FNRJ, 1961",,,,,Dar,,13.27,,,DA,,656.6(03) POMOR,,,
"G3473
2289",,"13.11.2019
ID: 6884",,POMORSKA enciklopedija,,"Pomorska enciklopedija: 8: V - Ž : dodaci i indeks Zagreb : Izdanje i naklada Leksikografskog zavoda FNRJ, 1964",,,,,Dar,,13.27,,,DA,,656.6(03) POMOR,,,
"G3474
2290",,"18.11.2019
ID: 6886",,"RELJIĆ, Željko",,"Basic : kompjuterski jezik / Željko Rejić, Branimi Zagreb : Tehnička knjiga, 1984",,,,,Vlastita kupnja,,3.98,,,DA,,004.43 RELJ B 3.izd.,,,
"G3475
2291",,"18.11.2019
ID: 6894",,ECDL- Program,,"ECDL - Program uredske informatike : priručnik za Zagreb : KING ICT [i.e.] Information &amp; Communication Technologies, 2008",,,,,Dar,,13.27,,,DA,,004 ECDL.P,,,
"G3476
2292",,"18.11.2019
ID: 6893",,"YATES, Jacques Frank",,"Poslovno odlučivanje : inovativna rješenja za goru Zagreb : Mate : Zagrebačka škola ekonomije i managementa, 2012",,,,,Dar,,17.12,,,DA,,005 YAT P,,,
"G3477
2293",,"18.11.2019
ID: 6892",,"RENKO, Nataša",,"Marketing / Nataša Renko, Jurica Pavičić. - Zagreb : Naklada Ljevak, 2003",,,,,Vlastita kupnja,,6.64,,,DA,,339 REN M,,,
"G3478
2294",,"18.11.2019
ID: 6887",,BOJ za živo,,"Boj za živo selo : obiteljska gospodarstva - temel Zagreb : Mate, 2017",,,,,Dar,,55.74,,,DA,,338 BOJ,,,
"G3479
2295",,"18.11.2019
ID: 6895",,"BUZET, Statut",,"Vodnjanski ststut = Statuto di Dignano / [priredil Vodnjan : Grad ; Pazin : Državni arhiv u Pazinu, 2010",,,,,Dar,,33.18,,,DA,,35 BUZ,,,
"G3480
2296",,"11.12.2019
ID: 6902",,TRGOVAČKI rječnik,,"Trgovački rječnik / urednik Mirjana Petrović. - Zagreb : Masmedia, 1992",,,,,Vlastita kupnja,,13.27,,,DA,,Č03 TRG,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3481
2297",,"11.12.2019
ID: 6903",,"CORBEIL, Jean-Claude",,"Engleski i francuski slikovni rječnik : potražite Zagreb : GZH, 1988",,,,,Vlastita kupnja,,13.27,,,DA,,030.8 CORBE eng,,,
"G3482
2298",,"11.12.2019
ID: 6901",,POSLOVNI rječnik,,"Poslovni rječnik / urednici Marijan Hanžeković, Pe Zagreb : Masmedia, 1992",,,,,Vlastita kupnja,,13.27,,,DA,,33(03) POSLO,,,
"G3483
2299",,"11.12.2019
ID: 6904",,"MIŠIGOJ-Duraković, Marjeta",,"Tjelesno vježbanje i zdravlje : znanstveni dokazi, Zagreb : Grafos [etc.], 1999",,,,,Vlastita kupnja,,5.31,,,DA,,613 MIŠ T,,,
"G3484
2300",,"11.12.2019
ID: 6905",,"PETRIČEVIĆ, Dušan",,"Metodika strukovno-teorijske nastave / Dušan Petri Zagreb : Pučko otvoreno učilište Zagreb, 2007",,,,,Vlastita kupnja,,6.64,,,DA,,371 PETR M 2.izd.,,,
"G3485
2301",,"11.12.2019
ID: 6899",,"KRLEŽA, Miroslav",,"Povratak Filipa Latinovicza / Miroslav Krleža. - Zagreb : Večernji list, 2004",,,,,Dar,,3.98,,,DA,,886.2-3 KRLEŽ pov,,,
"G3486
2302",,"11.12.2019
ID: 6898",,"HEMINGWAY, Ernest",,"Starac i more / Ernest Hemingway ; prijevod Zlatko Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.111 HEM ST,,,
"G3487
2303",,"11.12.2019
ID: 6897",,"NABOKOV, Vladimir Vladimirovič",,"Lolita / Vladimir Nabokov ; prijevod Zlatko Crnkov Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,820(73)-3 NABOK lol,,,
"G3488
2304",,"11.12.2019
ID: 6896",,"BOCCACCIO, Giovanni",,"Dekameron / Giovanni Boccaccio ; prijevod Jerka Be Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.131.1 BOC D 1-2,,,
"G3489
2305",,"11.12.2019
ID: 6896",,"BOCCACCIO, Giovanni",,"Dekameron / Giovanni Boccaccio ; prijevod Jerka Be Zagreb : Globus media, 2004",,,,,Dar,,3.98,,,DA,,821.131.1 BOC D 1-2,,,
"G3490
2306",,"12.12.2019
ID: 6908",,"TANAY, LJiljana",,"Poznavanje prehrambene robe : Udžbenik za prvi raz Zagreb : Pučko otvoreno učilište, 2015",,,,,Dar,,15.79,,,DA,,66 TAN p,,,
"G3491
2307",,"12.12.2019
ID: 6909",,"TANAY, Ljiljana",,"Poznavanje prehrambene robe : Udžbenik za prvi raz Zagreb : Pučko otvoreno učilište, 2015",,,,,Dar,,15.79,,,DA,,66 TAN p,,,
"G3492
2308",,"12.12.2019
ID: 6910",,"TANAY, LJiljana",,"Poznavanje prehrambene robe : Udžbenik za prvi raz Zagreb : Pučko otvoreno učilište, 2015",,,,,Dar,,15.79,,,DA,,66 TAN p,,,
"G3493
2309",,"12.12.2019
ID: 6907",,HOR zwe,,"Team Deutsch neu 1 [priručnik njrmsčkog jezika za Zagreb : Klett Verlag, 2014",,,,,Dar,,8.10,,,DA,,372.881.111.22,,Otpisano 13.12.2023.,
"G3494
2310",,"12.12.2019
ID: 6906",,"VERNIĆ, Elza",,"Vježbe iz fizike : priručnik za laboratorijski rad Zagreb : Školska knjiga, 1987",,,,,Dar,,6.77,,,DA,,53 VER V,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3495
2311",,"23.12.2019
ID: 6919",,"HERJAVEC, Stanislava",,"Vinarstvo / Ivan Rittig. -
Zagreb : Bibliografski zavod d.d., 1924",,,,,Vlastita kupnja,,29.07,,,DA,,66 HER V,,,
"G3496
2312",,"23.01.2020
ID: 6920",,"BAILEY, Gerry",,"Tvoj novac : [kako trošiš novac - i zašto?] / napi Zagreb : Novi izrazi, 2018",,,,,Vlastita kupnja,,11.93,,,DA,,336 BAILE tvo,,,
"G3497
2313",,"23.01.2020
ID: 6921",,"WHITEHEAD, William",,"Obiteljski novac : [kako obitelji troše novac - i Zagreb : Novi izrazi, 2018",,,,,Vlastita kupnja,,11.93,,,DA,,33d WHITE obi,,,
"G3498
2314",,"23.01.2020
ID: 6922",,"WHITEHEAD, William",,"Državni novac : [kako države troše novac - i zašto Zagreb : Novi izrazi, 2018",,,,,Vlastita kupnja,,11.93,,,DA,,336 WHI D,,,
"G3499
2315",,"23.01.2020
ID: 6923",,"BAILEY, Gerry",,"Svjetski novac : [kako se troši novac - i zašto?] Zagreb : Novi izrazi, 2018",,,,,Vlastita kupnja,,11.93,,,DA,,336 BAI S,,,
"G3500
2316",,"24.02.2020
ID: 6936",,UPRAVLJAČKO računovodstvo i,,"Upravljačko računovodstvo i računovodstvo troškova Zagreb : Mate, 2018",,,,,Dar,,80.83,,,DA,,657 UPRAV,,,
"G3501
2317",,"24.02.2020
ID: 6935",,"JACOBS, Robert F.",,"Upravljanje operacijama i lancem opskrbe / F. Robe Zagreb : Mate, 2016",,,,,Dar,,80.83,,,DA,,658 JAC U,,,
"G3502
2318",,"24.02.2020
ID: 6934",,"HOROWITZ, Ben",,"Teška stvar kod teških stvari : graditi posao kad Zagreb : Mate, 2018",,,,,Dar,,41.81,,,DA,,658 HORO T,,,
"G3503
2319",,"24.02.2020
ID: 6933",,"BRUCE, Anne",,"Budi sam svoj mentor / Anne Bruce ; [prevoditeljic Zagreb : Mate, 2018",,,,,Dar,,23.69,,,DA,,005 BRU B,,,
"G3504
2320",,"24.02.2020
ID: 6932",,"KRAMES, Jeffrey A.",,"Voditi s poniznošću : 12 lekcija iz vodstva pape F Zagreb : Mate, 2018",,,,,Dar,,19.91,,,DA,,005 KRAM V,,,
"G3505
2321",,"24.02.2020
ID: 6929",,"HEYWOOD, Andrew",,"Politika / Andrew Heywood ; [s engleskoga preveo M Zagreb : Mate, 2018",,,,,Dar,,58.53,,,DA,,32 HEY P-4.izd.,,,
"G3506
2322",,"24.02.2020
ID: 6928",,"BROOKS, Bill",,"Prodajne tehnike / Bill Brooks ; [prijevod Valenti Zagreb : Mate, 2018",,,,,Dar,,23.69,,,DA,,658 BROO P,,,
"G3507
2323",,"24.02.2020
ID: 6931",,"KELLER, Gary",,"Jedna stvar : iznenađujuće jednostavna istina skri Zagreb : Mate, 2018",,,,,Dar,,41.81,,,DA,,159.9 KELL.G J,,,
"G3508
2324",,"24.02.2020
ID: 6931",,"KELLER, Gary",,"Jedna stvar : iznenađujuće jednostavna istina skri Zagreb : Mate, 2018",,,,,Dar,,41.81,,,DA,,159.9 KELL.G J,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3509
2325",,"24.02.2020
ID: 6930",,"MATEŠA, Zlatko",,"Uvod u strateški menadžment / Zlatko Mateša. - Zagreb : MATE, 2019",,,,,Dar,,33.18,,,DA,,005 MATE U,,,
"G3510
2326",,"24.02.2020
ID: 6927",,UPRAVLJANJE ljudskim potencijalima,,"Upravljanje ljudskim potencijalima u javnoj službi Zagreb : Mate : Zagrebačka škola ekonomije i menagementa, 2019",,,,,Dar,,62.71,,,DA,,005 UPRA,,,
"G3511
2327",,"24.02.2020
ID: 6927",,UPRAVLJANJE ljudskim potencijalima,,"Upravljanje ljudskim potencijalima u javnoj službi Zagreb : Mate : Zagrebačka škola ekonomije i menagementa, 2019",,,,,Dar,,62.71,,,DA,,005 UPRA,,,
"G3512
2328",,"24.02.2020
ID: 6926",,"KEMP, Sid",,"Budžetiranje za menadžere / Sid Kemp, Eric Dunbar Zagreb : Mate, 2018",,,,,Dar,,23.69,,,DA,,657 KEM B,,,
"G3513
2329",,"24.02.2020
ID: 6924",,"IBARRA, Herminia",,"Ponašaj se poput vođe, razmišljaj poput vođe / Her Zagreb : Mate, 2018",,,,,Dar,,41.81,,,DA,,005 IBA P,,,
"G3514
2330",,"24.02.2020
ID: 6925",,KOMPARATIVNA politika danas,,"Komparativna politika danas / Gabriel A. Almond .. Zagreb : Mate : Zagrebačka škola ekonomije i managementa, 2013",,,,,Dar,,80.83,,,DA,,32 KOMP,,,
"G3515
2331",,"24.08.2020
ID: 6962",,"KARAGA, Maja",,"Programiranje aplikacija za Android / Maja Karaga, Zagreb : Element, 2018",,,,,Vlastita kupnja,,17.25,,,DA,,004.4 KARAG pro,,,
"G3516
2332",,"24.08.2020
ID: 6961",,"ŠRIBAR, Julijan",,"Demistificirani C++ / Julijan Šribar i Boris Motik Zagreb : Element, 2018",,,,,Vlastita kupnja,,33.18,,,DA,,004.43 MOT D-5.izd.,,,
"G3517
2333",,"24.08.2020
ID: 6959",,"KALINIĆ, Zoran",,"Motori s unutrašnjim izgaranjem : [udžbenik za str Zagreb : Školska knjiga, 2004",,,,,Vlastita kupnja,,15.26,,,DA,,621 KALIN mot,,,
"G3518
2334",,"24.08.2020
ID: 6960",,"KALINIĆ, Zoran",,"Motori s unutrašnjim izgaranjem : [udžbenik za str Zagreb : Školska knjiga, 2004",,,,,Vlastita kupnja,,15.26,,,DA,,621 KALIN odr,,,
"G3519
2335",,"24.08.2020
ID: 6958",,"KRLEŽA, Miroslav",,"Drame o Glembajevima : Gospoda Glembajevi : U agon
Zagreb : Mozaik knjiga, 2019",,,,,Vlastita kupnja,,15.79,,,DA,,821.163.42 KRL GL,,,
"G3520
2336",,"24.08.2020
ID: 6958",,"KRLEŽA, Miroslav",,"Drame o Glembajevima : Gospoda Glembajevi : U agon
Zagreb : Mozaik knjiga, 2019",,,,,Vlastita kupnja,,15.79,,,DA,,821.163.42 KRL GL,,,
"G3521
2337",,"24.08.2020
ID: 6958",,"KRLEŽA, Miroslav",,"Drame o Glembajevima : Gospoda Glembajevi : U agon
Zagreb : Mozaik knjiga, 2019",,,,,Vlastita kupnja,,15.79,,,DA,,821.163.42 KRL GL,,,
"G3522
2338",,"24.08.2020
ID: 6958",,"KRLEŽA, Miroslav",,"Drame o Glembajevima : Gospoda Glembajevi : U agon
Zagreb : Mozaik knjiga, 2019",,,,,Vlastita kupnja,,15.79,,,DA,,821.163.42 KRL GL,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3523
2339",,"24.08.2020
ID: 6958",,"KRLEŽA, Miroslav",,"Drame o Glembajevima : Gospoda Glembajevi : U agon
Zagreb : Mozaik knjiga, 2019",,,,,Vlastita kupnja,,15.79,,,DA,,821.163.42 KRL GL,,,
"G3524
2340",,"24.08.2020
ID: 6958",,"KRLEŽA, Miroslav",,"Drame o Glembajevima : Gospoda Glembajevi : U agon
Zagreb : Mozaik knjiga, 2019",,,,,Vlastita kupnja,,15.79,,,DA,,821.163.42 KRL GL,,,
"G3525
2341",,"24.08.2020
ID: 6957",,"GAVREN, Miro",,"Judita / Miro Gavran. - Zagreb : Mozaik knjiga, 2017",,,,,Vlastita kupnja,,5.97,,,DA,,886.2-3 GAVRA jud,,,
"G3526
2342",,"24.08.2020
ID: 6957",,"GAVREN, Miro",,"Judita / Miro Gavran. - Zagreb : Mozaik knjiga, 2017",,,,,Vlastita kupnja,,5.97,,,DA,,886.2-3 GAVRA jud,,,
"G3527
2343",,"24.08.2020
ID: 6957",,"GAVREN, Miro",,"Judita / Miro Gavran. - Zagreb : Mozaik knjiga, 2017",,,,,Vlastita kupnja,,5.97,,,DA,,886.2-3 GAVRA jud,,,
"G3528
2344",,"24.08.2020
ID: 6957",,"GAVREN, Miro",,"Judita / Miro Gavran. - Zagreb : Mozaik knjiga, 2017",,,,,Vlastita kupnja,,5.97,,,DA,,886.2-3 GAVRA jud,,,
"G3529
2345",,"24.08.2020
ID: 6957",,"GAVREN, Miro",,"Judita / Miro Gavran. - Zagreb : Mozaik knjiga, 2017",,,,,Vlastita kupnja,,5.97,,,DA,,886.2-3 GAVRA jud,,,
"G3530
2346",,"24.08.2020
ID: 6956",,"KOZARAC, Ivan",,"Đuka Begović ; Sudoperka ; Pjesme / Ivan Kozarac ; Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,11.02,,,DA,,821.163.42 KOZA.I Đ,,,
"G3531
2347",,"24.08.2020
ID: 6956",,"KOZARAC, Ivan",,"Đuka Begović ; Sudoperka ; Pjesme / Ivan Kozarac ; Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,11.02,,,DA,,821.163.42 KOZA.I Đ,,,
"G3532
2348",,"24.08.2020
ID: 6956",,"KOZARAC, Ivan",,"Đuka Begović ; Sudoperka ; Pjesme / Ivan Kozarac ; Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,11.02,,,DA,,821.163.42 KOZA.I Đ,,,
"G3533
2349",,"24.08.2020
ID: 6956",,"KOZARAC, Ivan",,"Đuka Begović ; Sudoperka ; Pjesme / Ivan Kozarac ; Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,11.02,,,DA,,821.163.42 KOZA.I Đ,,,
"G3534
2350",,"24.08.2020
ID: 6956",,"KOZARAC, Ivan",,"Đuka Begović ; Sudoperka ; Pjesme / Ivan Kozarac ; Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,11.02,,,DA,,821.163.42 KOZA.I Đ,,,
"G3535
2351",,"24.08.2020
ID: 6956",,"KOZARAC, Ivan",,"Đuka Begović ; Sudoperka ; Pjesme / Ivan Kozarac ; Zagreb : Školska knjiga, 2005",,,,,Vlastita kupnja,,11.02,,,DA,,821.163.42 KOZA.I Đ,,,
"G3536
2352",,"31.08.2020
ID: 6965",,"DIMITRIĆ, Mira",,"Poduzetničko računovodstvo / Jelica Paradžik-Lazar Zagreb : Mate, 2013",,,,,Dar,,6.64,,,DA,,657 DIM r,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3537
2353",,"31.08.2020
ID: 6966",,"IVANOV, Marijana",,"Bankarstvo i osiguranje 3 : udžbenik za 3. razred Zagreb : Mate, 2014",,,,,Dar,,6.64,,,DA,,336 IVA B-3,,,
"G3538
2354",,"31.08.2020
ID: 6963",,"BOUŠA-Slabinac, Dubravka",,"Hrvatski jezik na državnoj maturi : priručnik za p Zagreb : Školska knjiga, 2010",,,,,Vlastita kupnja,,6.64,,,DA,,82(091) BOU H,,,
"G3539
2355",,"31.08.2020
ID: 6964",,"ČUBRIĆ, Marina",,"[Tisuću i jedno] 1001 pitanje iz hrvatskoga jezika Zagreb : Školska knjiga, 2003",,,,,Dar,,6.64,,,DA,,811.163.42 ČUB T-2 2.izd.,,,
"G3540
2356",,"23.09.2020
ID: 6973",,"ARAMBAŠIĆ, Lidij",,"Psihološka prva pomoć nakon kriznih događaja : vod Zagreb : Naklada Slap, 2012.",,,,,Vlastita kupnja,,50.17,,,DA,,159.9 ARA P,,,
"G3541
2357",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3542
2358",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3543
2359",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3544
2360",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3545
2361",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3546
2362",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3547
2363",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3548
2364",,"28.09.2020
ID: 6974",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1974.",,,,,Vlastita kupnja,,4.25,,,DA,,O TWA,,,
"G3550
2365",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3551
2366",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3552
2367",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3553
2368",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3554
2369",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3555
2370",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3556
2371",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3557
2372",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3558
2373",,"28.09.2020
ID: 6975",,"TWAIN, Mar",,"Doživljaji Huckleberryja Finna : izbor / Mark Twai Zagreb : Školska knjiga, 1979.",,,,,Vlastita kupnja,,4.51,,,DA,,O TWA,,,
"G3559
2374",,"08.10.2020
ID: 6977",,"POPIT, Sabin",,"Zemlja kroz vrijeme : priča o plavom planetu / [te Zagreb : Mozaik knjiga, 2007.",,,,,Vlastita kupnja,,6.64,,,DA,,55 POP,,,
"G3560
2375",,"01.02.2021
ID: 7043",,"KOLANOVIĆ, Maš",,"Poštovani kukci i druge jezive priče / tekst i ilu Zagreb : Profil knjiga, 2019.",,,,,Vlastita kupnja,,11.81,,,DA,,821.163.42 KOLA.M,,,
"G3561
2376",,"01.02.2021
ID: 7043",,"KOLANOVIĆ, Maš",,"Poštovani kukci i druge jezive priče / tekst i ilu Zagreb : Profil knjiga, 2019.",,,,,Vlastita kupnja,,11.81,,,DA,,821.163.42 KOLA.M,,,
"G3562
2377",,"01.02.2021
ID: 7043",,"KOLANOVIĆ, Maš",,"Poštovani kukci i druge jezive priče / tekst i ilu Zagreb : Profil knjiga, 2019.",,,,,Vlastita kupnja,,11.81,,,DA,,821.163.42 KOLA.M,,,
"G3563
2378",,"01.02.2021
ID: 7043",,"KOLANOVIĆ, Maš",,"Poštovani kukci i druge jezive priče / tekst i ilu Zagreb : Profil knjiga, 2019.",,,,,Vlastita kupnja,,11.81,,,DA,,821.163.42 KOLA.M,,,
"G3564
2379",,"01.02.2021
ID: 7043",,"KOLANOVIĆ, Maš",,"Poštovani kukci i druge jezive priče / tekst i ilu Zagreb : Profil knjiga, 2019.",,,,,Vlastita kupnja,,11.81,,,DA,,821.163.42 KOLA.M,,,
"G3565
2380",,"01.02.2021
ID: 7042",,"MUNRO, Alic",,"Dragi život / Alice Munro ; s engleskoga prevela M Zagreb : Naklada OceanMore, 2013.",,,,,Vlastita kupnja,,19.78,,,DA,,821.111 MUN.A,,,
BROJ,,DATUM,,PREZIME I IME AUTORA,,NASLOV  (mjesto i godina),,,"SVEZAK
God./Br.",,DOBAVLJAČ,,"VRIJEDNOST
Eur",,,UVEZ,,SIGNATURA,,NAPOMENA,
"G3566
2381",,"01.02.2021
ID: 7042",,"MUNRO, Alic",,"Dragi život / Alice Munro ; s engleskoga prevela M Zagreb : Naklada OceanMore, 2013.",,,,,Vlastita kupnja,,19.78,,,DA,,821.111 MUN.A,,,
"G3567
2382",,"01.02.2021
ID: 7042",,"MUNRO, Alic",,"Dragi život / Alice Munro ; s engleskoga prevela M Zagreb : Naklada OceanMore, 2013.",,,,,Vlastita kupnja,,19.78,,,DA,,821.111 MUN.A,,,
"G3568
2383",,"01.02.2021
ID: 7042",,"MUNRO, Alic",,"Dragi život / Alice Munro ; s engleskoga prevela M Zagreb : Naklada OceanMore, 2013.",,,,,Vlastita kupnja,,19.78,,,DA,,821.111 MUN.A,,,
"G3569
2384",,"01.02.2021
ID: 7042",,"MUNRO, Alic",,"Dragi život / Alice Munro ; s engleskoga prevela M Zagreb : Naklada OceanMore, 2013.",,,,,Vlastita kupnja,,19.78,,,DA,,821.111 MUN.A,,,
"G3570
2385",,"24.02.2021
ID: 7046",,"WILD, Osca",,"The picture of Dorian Gray / Oscar Wild ; retold b Oxford : Oxford University Press, 2008.",,,,,Vlastita kupnja,,6.50,,,DA,,821.111-3=111 WILDE pi,,,
"G3571
2386",,"24.02.2021
ID: 7046",,"WILD, Osca",,"The picture of Dorian Gray / Oscar Wild ; retold b Oxford : Oxford University Press, 2008.",,,,,Vlastita kupnja,,6.50,,,DA,,821.111-3=111 WILDE pi,,,
"G3572
2387",,"24.02.2021
ID: 7046",,"WILD, Osca",,"The picture of Dorian Gray / Oscar Wild ; retold b Oxford : Oxford University Press, 2008.",,,,,Vlastita kupnja,,6.50,,,DA,,821.111-3=111 WILDE pi,,,
"G3573
2388",,"24.02.2021
ID: 7046",,"WILD, Osca",,"The picture of Dorian Gray / Oscar Wild ; retold b Oxford : Oxford University Press, 2008.",,,,,Vlastita kupnja,,6.50,,,DA,,821.111-3=111 WILDE pi,,,
"G3574
2389",,"24.02.2021
ID: 7046",,"WILD, Osca",,"The picture of Dorian Gray / Oscar Wild ; retold b Oxford : Oxford University Press, 2008.",,,,,Vlastita kupnja,,6.50,,,DA,,821.111-3=111 WILDE pi,,,
"G3575
2390",,"24.02.2021
ID: 7046",,"WILD, Osca",,"The picture of Dorian Gray / Oscar Wild ; retold b Oxford : Oxford University Press, 2008.",,,,,Vlastita kupnja,,6.50,,,DA,,821.111-3=111 WILDE pi,,,
"G3576
2391",,"24.02.2021
ID: 7048",,"RAYNHAM, Alex",,"The thirty-nine steps / John Buchan. London : Penquin Books, 1994.",,,,,Vlastita kupnja,,6.50,,,DA,,8=111 RAY l,,,
"G3577
2392",,"24.02.2021
ID: 7048",,"RAYNHAM, Alex",,"The thirty-nine steps / John Buchan. London : Penquin Books, 1994.",,,,,Vlastita kupnja,,6.50,,,DA,,8=111 RAY l,,,
"G3578
2393",,"24.02.2021
ID: 7048",,"RAYNHAM, Alex",,"The thirty-nine steps / John Buchan. London : Penquin Books, 1994.",,,,,Vlastita kupnja,,6.50,,,DA,,8=111 RAY l,,,
